,beer,score,style,abv,rating,cleaned_review
10,Atrial Rubicite,100,Wild Ale,5.8%,4.74,"Poured from a bottle (blend 10, bottled Apr2020) into a Belgian glass L: very rich, dark ruby red with a matching (slightly lighter color) head that fades after a minute or two. Some decent bubbles around the edge S: amazing, deep raspberry nose. Like freshly puréed for a smoothie, embarrassingly reminds me of Häagen-Dazs raspberry sorbet. Little bit of funk, nice and tart, smells awesome T: follows the nose with great freshly picked raspberry flavor. Lightly tart, a little pithy, beautiful fresh fruit. Medium/long finish, nicely drying. Great flavor, more restrained than the nose if that makes sense F: medium/light body, medium carbonation, perfectly drying O: truly remarkable beer, one that lives up to the hype. Almost would have liked it as a dessert beverage, something special about it"
11,Kaggen! Stormaktsporter,100,Stout - Russian Imperial,10%,4.69,"Jet black color, more thick viscosity, tan clumpy head that is champ of retention and stickiness. Aroma was plenty of whiskey, soft charred roast, chocolate malt. Leather and oak show up like its a tree sex party. Taste is so chewy, absorbs the alcohol for you, whiskey is in a supporting role. Faint honey and vanilla. Caramel present like a boozy cracker jack, mouthfeel amazing that in a SRM this deep, it allows toffee and caramel to come through even through the whiskey and smoke. Amazing stuff, amazing circumstance, I kind of hate that I liked it so much."
12,Supplication,100,Wild Ale,7.75%,4.54,"Bottled 07/21/17. I was expecting the cork to pop, it didn’t. The pour is very dark, light head that doesn’t last. You can smell the Pinot and cherries. None of the flavors are dominant. Really nice balance between the tart and the residual wine aspects, and just the right amount of funk. I need to try a newer bottle for comparison.  Overall a wonderful ale!"
13,Rare Scooop,100,Stout - American Imperial,,5.0,This is one of the most unique and most impressive beers I have ever had. You get to taste every bit of the Neapolitan ice cream in the description in all the best ways. Definitely a dessert beer but not at all too sweet in my opinion. A wonderful experience
14,Black & Wild,99,Wild Ale,10%,4.49,"Pours an inky black in the glass. Decent beige head. Smell is nuanced: roasted cocoa, vanilla, sour cherry, red grapes. Flavor is tarter than the nose suggests. Very vinous, fruit forward. Big, acidic finish but the chocolate malt backbone helps it along. The best kind of German chocolate cake."
15,Barrel Aged Bomb!,99,Stout - American Imperial,14.7%,4.75,A: Poured into a snifter to a black beer topped by a minuscule tan head which fades quickly to a collar around the edge of the glass with no lacing
16,Parabola,100,Stout - Russian Imperial,13%,4.79,"2020 vintage boxed bottle, sampled June 2, 2021. Appearance: Bonus points for the nice box, beer is black and shows clear ruby edges with strong back light. A short lived tan head dropped off to a thin halo that doesn't lace. Aroma: Heavy dark malt, bourbon barrel, dark fruit. Taste: Starts a little sweet, deep malt bill, then a toffee middle goes into an almost sharp bourbon barrel, hop bitter, hot alcohol finish. All of it glorious. Mouthfeel: Sultry. Silky smooth, low carbonation, medium heavy body, slight chew, a little warm on the finish but fairly clean. Overall: Wow. It deserves the big numbers. Huge flavor, no flaws (but, it would be hard to tell), alcohol is kept low key and felt more than tasted. Boozy, malty, silky, hints of citric peek through, very complicated but well packaged taste profile. Easy drinking, it's a treat!"
17,Crusher,99,IPA - New England,8%,4.35,"Yeah, this was old but like so many cans in my stash, I have no idea when this was brewed as there wasn't anything written on the bottom of it. This was a must-have because of it's rating on here and even though this was old, this was such a hop bomb that I had to take my time sipping this. Yes, this beer was quite intense but it was worth the effort to enjoy as the label was quite indicative of what the liquid was like! Hazy, amber, and not topped off with a lot of head, there was lots of debris floating in this but surprisingly, the lacing left behind wasn't that thick at all. Hop oils. tropical fruits, weed, and nectar filled the nose as they could all be found in the taste as well. Lychee, passion fruit, star fruit, jack fruit, and orange blossom filled the palate as the taste was quite complex and rich while being dry at the same time. Hoppy, herbal, and underlying sweet, this had a subtle but long-lasting stickiness that was indicative of this beer's makeup as it was hard to put away; while being hard to resist at the same time. Plenty of booze here but it was felt more than tasted although I could feel it creeping up on my well before I finished this off. A deep, fresh, dank pine tied everything in together as it was felt from the first sip until well after the last drop went down. If you like your beers to be complex and engrossing at the same time, you've found you're match here. This was a solid brew that deserves it's lofty rating on here even though I wasn't quite gung-ho about it as others on here have been. It's easy to see why this is so loved, as it's a must-have for anyone looking for the best of what a New England IPA has to offer. Just make the time to savor this properly!"
18,Double Dry Hopped Double Mosaic Daydream,99,IPA - New England,8.5%,4.31,Canned 11/5/20
19,Congress Street IPA,100,IPA - New England,7.2%,4.02,"Yeah, my can of this is old - really old (7/21/16) but this is a classic and I vowed to have it, along with everything else in my basement, before it burst or broke. Even though this was quite a bit of a malt bomb when I opened it, it wasn't bad and was still enjoyable to a large extent. Very little sediment was poured out as well, which made the experience that much better! Not a bad pour to this as the liquid was a muted peach with a ton of cloudiness to it. The head was sufficient and there was a bit of lacing here and there after the thin collar at the top, but it wasn't terribly thick or bright. Not a lot of pine in the nose but there was enough orange, tangerine, and cream in the nose to keep this soft. The clementine and rind came through in the taste along with a citrus sweetness that made this quite soft and easy to drink. A mild dank hop presence came through in the aftertaste and it was no secret that this felt like a malt bomb, given how much was in here. Loads of wheat gave this body as this was not terribly juicy nor dry from start to finish... Just the right amount of alcohol was present too, as I felt a bit of warming but not enough to serve as a deterrent. This was a nice beer that had everything in proportion and was quite easy to quaff. I have no idea who Paul and Jess are but if they had this at their wedding, it would have been a great choice!"
20,Bourbon Barrel Black Maple,99,Porter - Imperial,13.1%,4.41,"2018 vintage, 12.7 oz bottle poured into a tulip glass."
21,Alter Ego,100,IPA - New England,6.8%,4.75,"Dated 1/29/19, drank on 2/15/19 Look (4.75): opaque golden orange. Nice 1.5 finger foamy head."
22,Samuel Adams Utopias,100,Strong Ale - American,28%,5.0,"I know it looks foolish to do all 5s. But this ""beer"" is off the charts. The taste is more like a (non-carbonated) sherry-cognac with a maple overtone. At 28% alcohol, these brews last for a very long time. My collection goes back 10 years. The 2009, opened for a decade, still tastes great. I just have tiny sips, so I can extend the experience over the years."
23,Very GGGreennn,100,IPA - New England,8.3%,4.99,This beer is by far Tree House's best beer....and that is saying a lot. This beer doesn't leave any doubt that they are the kings of the NEIPA. They even have the hop bite to end this just the way I love it.
24,Cutting Tiles - Galaxy,99,IPA - New England,8.5%,4.0,"Creamy-looking dark OJ color with a thin finger of off-white head. Nice lacing. Huge aroma of weed, earthy smoked herbs and nuts. They carry over the taste, coupled with orange juice, lime, pithy and piney bitterness and a peppery alcohol bite. Some hop bite, too. Full bodied with a prickly feel. There’s a lot of depth and ton of alcohol in this one, but the nutty, smokey quality when fresh isn’t to my preference. I am interested to see how it changes with some age."
25,Hommage,100,Lambic - Fruit,6%,4.52,"Season 17/18. Bottles 22 Mar 18.  Pours out a beautiful, deep red. Almost like a shining black cherry. Forms sea foam pink bubbles throughout the pour that noisily dissipate as quick as they form. Beautiful clarity.  The nose brings flowery/powdery aspect mixing with fruit. Tart cherries, black cherries, raspberries.  The taste brings in flowers, cherries, raspberries. Once it’s gone, the carbonation leaves you burping up rotten, skunky, funky fruit. Love it.  The mouthfeel has enough carbonation to lead to a burp it seems like after every drink. Mildly tart, greatly balanced.  Overall, it’s a beautiful beer."
26,Marshmallow Handjee,100,Stout - Russian Imperial,15%,4.42,"Split the 2018 version with 2 friends. I'll blame the perpetual hype but IMHO this was just a pretty good vanilla stout. Not 5 times better than FO, certainly not 2-3 times as good as Henna marshmallow. Yes the vanilla balance was perfect but honestly it started to wobble a bit as it warmed up. Not worth the price tag, hoping for a different variant this year."
27,Hunahpu's Imperial Stout,100,Stout - American Imperial,10.2%,4.34,Look - fantastic black and thick with a great lasting tan head and rimming
28,Headroom,100,IPA - New England,8%,4.71,"My first Trillium beer, have to figure out how to get more regularly!  Canned on 6/10/18, poured from can into tulip glass 10/2/18. Guessing I missed some of the highlights here but this is still a great beer. Murky orange-yellow pour with large foamy head that quickly disappears leaving a little lacing. Juicy citrus with a touch of sweetness to it on the nose. Clean, crisp taste with touch of hoppy bitterness to finish. Delicious beer, wish I was closer so I could get more of their stuff regularly."
29,CBS (Canadian Breakfast Stout),100,Stout - American Imperial,11.3%,4.32,Poured from a 12oz. bottle into a snifter. 2019 release. 
30,Fou' Foune,100,Lambic - Fruit,5.5%,4.61,"04/2014 - The nose is notably tart, a touch yeasty, yet notable peach and apricots; funky, lactic, pucker all over the palate, with juicy fruit lasting and lasting; there's a unique bitterness in back, but the aforementioned characteristics, namely the the peach and lactic linger."
31,BDCS,99,Stout - American Imperial,10.2%,4.61,"Uhm, yum. Bourbon up front, bourbon in the nose, with a sweet, not cloying, aftertaste. Mouthfeel is full. Not warming, don’t taste the alcohol, but wow does it smack you in the head! I might revise my rating later when I’m not so smashed!"
32,Abraxas,99,Stout - American Imperial,11.5%,4.25,"L: Pitch black with a small head, tan head."
33,Trappistes Rochefort 10,100,Quadrupel (Quad),11.3%,4.72,"Look: dark amber, big cream head Smell: malt, plums, rasins, hops Taste: lots of malt and dark fruit sweetness, with a nice floral hop  Feel: smooth, nice small bubbles on the tongue"
34,Hunahpu's Imperial Stout - Double Barrel Aged,100,Stout - American Imperial,11%,4.52,Very dark appearance with slight tan head that dissipates quickly. Aroma is a very prominent and pleasant cinnamon and vanilla. Taste is also a prominent cinnamon and pleasant vanilla accent and prominent chili burn.
35,Sunday Brunch,100,Porter - Imperial,9.2%,4.0,"750ml bottle thanks to Rick. Inky black pour, small beige head. Roast grains, coffee, cinnamon on the aroma. Taste brings a bit of ashy notes, more of the roast grains, mild coffee, cinnamon, french toast without the syrup."
36,Sip Of Sunshine,100,IPA - Imperial,8%,4.09,tasted 3/5/21. Poured from a can dated 12/23/20.
37,Fort Point Pale Ale - Mosaic Dry Hopped,99,Pale Ale - American,6.6%,4.25,A: Hazy yellow gold with nice white foamy head and sticky lacing. 
38,No Rules,100,Porter - Imperial,15%,4.44,"Purple bowling ball so it must be the 2016 version. This one has been on my once list for a very long time so I am very excited to try it. The smell is very much like German chocolate cake. The sweetness of this beer is something that really grips you right off the bat. Smooth astringent, cordial like alcohol blends nicely with cocoa and chocolate icing. This brew is very cake like throughout. Lots of dark chocolate with hints of black cherry. I would love to try maybe a rye barrel aged version of this."
39,Fuzzy,100,Wild Ale,8%,3.93,Shared a 375 from the most recent batch with my brother. This was my first beer from side project and I think he gave away a little much for it. I like this beer overall and was very drinkable. I thought while tart and sour it wasn't over the top like some are saying. At the same time it wasn't very bold. I could have crushed the whole bottle to myself easily but in the same vain of IPAs I'm not really a session guy. Just expected something more.
40,Rare Scooop,100,Stout - American Imperial,,5.0,"Just a perfect beer. The mix of flavors is incredible. Imagine the ideal cross scoop out of a pint of Neapolitan ice cream, with the barrel to balance the strawberry goodness. Do yourself a favor and get your hands on one of these."
41,Black Gold,100,Stout - American Imperial,11%,4.31,"2018 vintage.  A: Pours black with a smattering of fairly fine, dark brown head that recedes quickly to a razor thing ring. A couple dots of lacing. S: Vanilla, dark chocolate, delicious bourbon and oak, mint, light roast.   T: Cola, dark cacao chocolate bar, mint, bourbon, oak, hint of burnt coffee, along with light sweetness. Finishes with sort of a gritty dark cocoa and cola flavor. Hefty bourbon contribution that doesn’t overpower the rest.   M: Full bodied with medium, cola-like carbonation. Light but smooth alcohol warmth.   O: Tasty stuff, like a more refined version of BBS with similar bourbon and coke type flavors. The burnt note is a little distracting but still a solid beer."
42,La Fosse,99,Wild Ale,8%,4.99,"Imcredible beer. Only had a small 3 oz sample at the FWIBF into a 6 oz snifter. The stone fruit shines and is comimented nicely with the puckering sour of the lactic acid. For a Side Project, these brews continue to take on starring roles!"
43,Coconut B-Bomb,99,Strong Ale - American,13%,4.3,"14 January 2020 - Beer #8 Appearance: 5 - nearly black black with an incredibly frothy nitro head that just won't quit. Nose: 5 - plenty of barrel and an absolute blast of coconut. Can't wait to dive in. Taste: 4 - really good, but a bit too sweet. TONS of coconut. Very tasty but just too cloying. Mouth: 4 - surprisingly thin for nitro. Sticky but not thick. Overall: 4 - a decadent night cap, but just a tier below what I expected. Cheers!"
44,Barrel-Aged Silhouette,99,Stout - Russian Imperial,11%,4.55,Thank you Vidblain for this
45,Scaled Way Up,100,IPA - New England,8%,4.41,"On tap at Bayberry Beer Hall in RI, pours a murky hazed yellow, small white head that fades fast The smell is incredible here, an overload of papaya, banana, pineapple, orange and mango, just the lightest hop bite to back it up The taste is a bit of a letdown compared to the aroma but still awesome. I get piney, resinous hops, a light florality, very tropical The feel is nice and prickly, pretty highly carbonated and drinks medium bodied Some pretty amazing stuff right here, super easy drinking but still really interesting"
46,Saison Du Fermier,100,Farmhouse Ale - Saison,7%,4.63,"Batch 4, poured into a tulip. Crisp and tart with a really nice soft mouthfeel and a bit of funkiness - I could drink this everyday. Looking forward to seeing how this one develops!"
47,Double Nelson,99,IPA - New England,8%,4.6,"Double Nelson pours a murky golden orange color with a small quarter inch, white head, which settles quickly, rimming the glass and some very spotty lacing. The smell is quite dank, with a grassy, earthy weed and pine softened by citrus fruits of orange, pineapple, some white grape with some nice malts and assorted grains resulting in a creamy aroma. Wow! Nothing short of excellent! Lush and creamy over the palette making this very easy drinking. Hints of white wine, grass an herbal notes with grapefruit and pineapple with some pricky spiciness but a soft texture all the way through."
48,Triple Sunshine,100,IPA - Imperial,10.5%,4.3,"Had Triple Sunshine poured from 12-oz. can, bottom stamped ""CANNED ON 07/07/20,"" gift from friend, into Teku tulip 3.0. Pours bright gold with one finger of near-white head, which doesn't last and leaves only a little lace. Give this one time. Cold off the pour, it's pine-sol. As it warms, or if you start it closer to proper temp., it's floral and fruity, pineapple, tropical funk, and backing malt. On drinking, it's funky, brandied fruit, over big malt, with alcohol warming up the finish."
49,Atrial Rubicite,100,Wild Ale,5.8%,4.29,"On tap at Hops and Pie. Extremely purple with a pink head, vibrant colors. Smells like a jar of raspberry preserves, very jammy and fruity. Sweetness as well. Flavor was mostly raspberry preserves and a slight sourness. I understand now why people might seek out Jester King."
50,Fundamental Observation,100,Stout - American Imperial,14.3%,4.19,Bottle. Dark brown pour with a kaki head. Huge sweet caramel and vanilla aromas. Massive vanilla gives way to sweet fudge and caramel notes. A hint of bitter roasted malts and booze on the backend. Really good mouthfeel. Average body.
51,Swish,100,IPA - New England,8%,4.49,Type: 16-oz. draft
52,Mocha Wednesday,100,Stout - American Imperial,19.9%,4.7,"Thanks to Chris the local guy for this 750ML bottle. Sampled this previously but never sat down with a full pour & very happy to do so. Split with my wife.  The pour is surprisingly light, a muddly brown rather than abyssian darkness. Head vanishes quickly to nothing. The nose is just as advertised: chocolate, roast, booze, barrel. Meets expectations like rear-ended Ford Pinto.  Mocha Wednesday is boozier than waking up inside a bourbon barrel; now I know how the dwarves felt on the Forest River (well, kind of). Massive hit of alcohol & bourbon in yo face, & my feet feel suddenly further away. Large scale sweetness from the malts, chocolate, roast that’s quieter than the nose would suggest. Underneath the chaos is molasses & something else I could identify if I wasn’t already drunk. Thick, decadent, & would pair well with my wife’s lovely Bailey’s cheesecake. Mmmmm. Love this. Could have taken it solo.  Pastry stout has been used as a recent epitaph, but in my mouth it’s a viral compliment. Hand me a glass of this anytime. An elite beer that improves marginally on the near perfection that is Black Tuesday. Please help me up the stairs if you see me napping somewhere other than my bed later. Thanks in advance."
53,Juice Machine,100,IPA - New England,8.2%,4.83,"From a 16oz can dated 11/12/20. Message on can: ""Whatever you do, do it well."" Pours an dense opaque brownish orange with about one finger of pale yellow head. Great retention, unreal lacing. I maybe could have dinged it a quarter point for the small head but the denseness of the color more than made up for it. Smells...the nose on this thing! Unbelievable. Rich pineapple, orange, nectarine, peach, tangerine and grapefruit. Just a bit of herbal, earthy aroma in the background. Taste. Don't know how they did this but while there is some citrus in the background, hop bitterness is front and center. Picking up a pleasant citrus acidity.  Mouthfeel is thick and sticky but highly drinkable-very smooth. Strong bitter aftertaste. Low carbonation. Overall. Wow. Just Wow. This beer is about as close to perfect as you can get."
54,Speedway Stout - Bourbon Barrel-Aged,100,Stout - American Imperial,12%,4.21,"May 10th, 2016 - Rounding up the trio of Alesmith Stouts and their different flavor variants is the Barrel Aged version of the OG, with a high price, an ABV and my high expectations. The smell is potent, even from a 4 oz. taster glass, and shows off the barrel aging and oak nicely. The flavor is also exceptionally smooth, strong and potent, with a solid hit of alcohol, and a good bourbon taste. Solid, meaty and strong, it's a triple threat, and definitely worth of following the other Speedway styles. September 3rd, 2015 - The Alesmith Vietnamese Coffee stout is a premier beer, but the Bourbon Barrel Aged version is no slouch. With a smooth, opalescent look it offers classic and classy alcohol and oak notes, smoldering with ethanol. The taste is much gentler, both sweet and delicate, but also bold and robust. A licorice sweetness mixes with the taste of Japanese whisky, and a thinner palate let's everything shine through."
55,Fuzzy,100,Wild Ale,8%,4.35,"Pours a clouded amber to orange color with a fizzy, small head, which immediately diminishes to a small coating. Smells of leaf wrapped ripe peaches, offering a bright fruitiness, which comes close to actually cut a peach into half and enjoy its aromas. This inherits not only the fruit‘s pulp but also its stone pith quality, adding a soft soothing quality to the sprizzy, slightly perfumy and floral fruits. Has a higher, finely nuanced carbonation, with an effervescent finish, among a lighter, yet versatile and intense lighter body. While this is doubtlessly focussed entirely on peaches, the flavors of the beer offer an initial mineralic quality, white bread dough and matured, still slightly bitter herbs. Peaches enter the palate with an early fruit sugar peak, which stays till the end, but fades down slowly and constantly. The fruit itself is defined by a pleasant tartness, sweeter peach pulp, a light moldy touch among a flowery mildness, which allows a rustic barnyard profile, consisting of leather and cream cheese, to cut through. Develops an almost creamy finish with an astonishing smoothness of the fruits and a finely beaded mouthfeel, leading to a surprising, well interweaved juiciness, in which the maintaining tartness manages to shine.  This tastes great, everything comes together perfectly, due to the beer‘s awesome mouthfeel and balance. It is just as complex as a Lambic with a cleverly integrated tartness, labeling this unmistakably a sour, but with a complexity which assures to be able to pick up the beer‘s subtle nuances."
56,Ground State,99,Stout - American Imperial,13.4%,4.49,"2016 vintage, poured into a tulip. Nice roasted coffee (still), coupled with some detectable vanilla creaminess/sweetness. Nice mouthfeel, highly impressed."
57,Double Citra®,100,IPA - New England,8%,4.97,"A: Pours the usual dark-ish super hazy yellow color. The head is pure white and looks very creamy. Retention and lacing are pretty good. The look of the beer is 100% NEIPA. S: The nose is pure mangoes, juicy orange, light pine resin, mint leaves, peaches and even a very faint strawberry note. Superbly complex yet coherent. Very fresh. T: The tastes is exactly like the smell, except for more pine resin than in the nose. You get a ton of mangoes, orange (juice and peel), mint leaves, peaches and again a light strawberry note. Incredibly fresh with no malt notes whatsoever. No chalk at all. M: As with all Hill Farmstead brews I had, the mouthfeel is just perfect. Incredibly light and fluffy. The extremely low amount of residual sugars makes this beer not sticky at all too. O: IMO, this is on par with Lawson's Double Sunshine as the best IPA I've ever had. This one is a bit drier but more complex on the fruit notes and fresher in the mouth with the notes of mint."
58,KBS - Maple Mackinac Fudge,99,Stout - American Imperial,11%,4.75,"Regardless of opinion on this brewery socially, to me their dark stuff is so far amazing. The coffee is super background here but the chocolate and bourbon flavor is excellent, maple is subtle as well but I wasn't surprised there. Overall it was a quality product."
59,Gueuze 100% Lambic,99,Lambic - Gueuze,5%,4.56,"Funky hazy tart beer, a true Belgium lambic. We toured the brewery - so cool! One of only breweries in Belgium that did not close or convert to munitions during WWII."
60,The Peach,100,Wild Ale,7.3%,4.97,"Appearance: murky and cloudy bright yellow Aroma: fresh ripe peaches! Very pleasant, eventually smells like the Jolly Ranchers Peach when it warms up. The sourness is there but it's like an afterthought. Taste: very sour upfront and then the peaches just works its way in. Noticeable at first but as it warms up, it's full blown fresh tart peaches! One sip after another is really like taking a bite out of a peach, but on top of that you add complexity as it's highly sour. I do not notice trace of oak or whatever it was aged in, but that's okay, it's over abundant in peaches. Mouthfeel: medium bodied with a sour bite in the mouth  Overall: it's definitely in the top 3 is sours I've tried. I only wish I get to try this again."
61,Framboos,100,Lambic - Fruit,5%,3.96,"750ml bottle dated 06/2014. This wasn't totally flat, there was a tiny bot of fizz. Dark pink color. Aroma was great, lots of raspberry and lambic. The flavor was alright, it was slightly sour, raspberries but honestly I was expecting to be blown away and I wasn't. This was a good framboise but I preferred Hommage."
62,The Abyss,99,Stout - American Imperial,11.4%,4.38,"A 22 fl. oz. bomber, 2016 Reserve, bottled on 8th December 2016. Poured into a snifter glass. Appearance: Very dark brown to black in colour with a nice one finger brown head that had decent retention, while leaving lots of nice spotty lacing. Aroma: Dark malt, moderate roast, chocolate, sweet notes, licorice, molasses, bourbon, oak. Taste: Light bitterness, roasted malts, dark chocolate, light char, sweet notes, brown sugar, licorice, molasses, oak and bourbon on the finish. Mouthfeel: Creamy, smooth, full bodied with soft carbonation. Overall: An excellent classic Imperial Stout with lots of great flavours and not too sweet. A wonderful and enjoyable sipper."
63,Everett Porter,100,Porter - American,7.5%,4.5,"Smells of chocholate with some coffee flavors. This beer is definitely bitter and embodies the true porter feeling. It's not sweet at all. Robust, and a good portrayal of this style."
64,Sip Of Sunshine,100,IPA - Imperial,8%,4.75,Pours a hazy copper to amber in color. Head is frothy white that dissipates quickly. Nose is pungent and aromatic. Taste is WOWZA! Very flavorful from the hops. Slightly citrus. Great bitter bite that grabs hold of the back of the tongue. Superb beer.
65,Bomb!,100,Stout - American Imperial,13%,2.63,"This is a strange one. I love imperial stout especially big strong ones. However I prefer them a bit drier I suppose. This is much too cloyingly sweet for me. The nose is mostly chili. It looks decent like thick motor oil has legs. No head to speak of though. As I said taste is too sweet. I don’t get much other than booze and the chilis. Mouthfeel is super thick. Overall disappointed I paid so much for the bottle. I usually go for even more Jesus love that one way more, or Stone IRS. I have had so many of the style I enjoy a lot, can’t say this was one of them."
66,Zenne Y Frontera,100,Lambic - Traditional,7%,4.8,"A 750ml bottle, batch 2, bottled on 26th March 2016 and a best before date of 26th October 2026. Poured into a 3 Fonteinen funnel and decanter, decanted for 60 to 90 minutes and poured into a 3 Fonteinen Zenne glass. Appearance: A mostly clear golden orange colour with a minimal white head and sparse to no lacing. Aroma: Earthy funk, barnyard, hay, oak, nutty, sherry, peach and lemon. Taste: Complex flavours. Funky, earthy, barnyard, sour, lemon, grape, apricot, sherry and oak with a hint of vanilla. Mouthfeel: Medium bodied with soft carbonation. Overall: Wow, such complexity and goodness from a beer. Amazing and well balanced. Now I really want to try this side by side with the sherries and even batch 1, if at all possible."
67,Lou Pepe - Framboise,100,Lambic - Fruit,5.5%,4.75,"2015 vintage. Tart raspberries with typical funk. Had the 2012 Kriek and the 2013 side by side. The kriek was a touch superior, followed closely by the framboise."
68,Julius,100,IPA - New England,6.8%,4.5,"A pint can gifted from a friend. And what a gift. As soon as the can was opened, I knew it'd taste as great as it smelled, but it was even better. Not much head retention but to me that's not a biggie. There's nothing I can offer regarding the taste that wouldn't be superfluous to what's been said before. You owe it to yourself to try this beer if you can."
